Small Subject								Medium Subject								Large Subject							
Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8	Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8	Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8
8	8	2	4	2	4	6	6	8	8	2	4	2	4	6	6	9	9	3	5	3	5	7	7
6	2	8	2	6	6	2	2	6	2	8	2	6	6	2	2	7	3	9	3	7	7	3	3
8	8	2	8	4	8	4	6	8	8	2	8	4	8	4	6	9	9	3	9	5	9	5	7
2	2	4	2	8	2	8	8	2	2	4	2	8	2	8	8	3	3	5	3	9	3	9	9
4	8	2	4	4	4	4	4	4	8	2	4	4	4	4	4	5	9	3	5	5	5	5	5
6	4	8	6	8	2	8	8	6	4	8	6	8	2	8	8	7	5	9	7	9	3	9	9
8	6	2	2	2	8	2	2	8	6	2	2	2	8	2	2	9	7	3	3	3	9	3	3
2	2	6	8	4	4	6	8	2	2	6	8	4	4	6	8	3	3	7	9	5	5	7	9
8	8	4	6	2	8	4	2	8	8	4	6	2	8	4	2	9	9	5	7	3	9	5	3
4	2	6	2	4	2	8	4	4	2	6	2	4	2	8	4	5	3	7	3	5	3	9	5
8	8	8	8	2	8	2	8	8	8	8	8	2	8	2	8	9	9	9	9	3	9	3	9
2	2	2	2	8	2	8	6	2	2	2	2	8	2	8	6	3	3	3	3	9	3	9	7
4	6	8	8	6	8	2	4	4	6	8	8	6	8	2	4	5	7	9	9	7	9	3	5
2	2	4	4	8	2	8	8	2	2	4	4	8	2	8	8	3	3	5	5	9	3	9	9
6	4	8	2	2	6	2	6	6	4	8	2	2	6	2	6	7	5	9	3	3	7	3	7
4	8	6	8	8	8	8	8	4	8	6	8	8	8	8	8	5	9	7	9	9	9	9	9
6	6	8	2	6	2	4	4	6	6	8	2	6	2	4	4	7	7	9	3	7	3	5	5
8	2	2	8	2	6	2	2	8	2	2	8	2	6	2	2	9	3	3	9	3	7	3	3
4	4	8	6	8	2	8	8	4	4	8	6	8	2	8	8	5	5	9	7	9	3	9	9
2	8	2	2	2	4	6	2	2	8	2	2	2	4	6	2	3	9	3	3	3	5	7	3
8	6	8	4	8	2	2	8	8	6	8	4	8	2	2	8	9	7	9	5	9	3	3	9
4	2	6	8	2	8	4	6	4	2	6	8	2	8	4	6	5	3	7	9	3	9	5	7
8	6	8	4	8	4	2	2	8	6	8	4	8	4	2	2	9	7	9	5	9	5	3	3
2	4	2	6	2	8	8	4	2	4	2	6	2	8	8	4	3	5	3	7	3	9	9	5
6	2	8	8	6	2	2	8	6	2	8	8	6	2	2	8	7	3	9	9	7	3	3	9
4	8	2	2	2	6	8	2	4	8	2	2	2	6	8	2	5	9	3	3	3	7	9	3
8	2	8	6	6	2	6	6	8	2	8	6	6	2	6	6	9	3	9	7	7	3	7	7
4	8	2	8	2	8	4	2	4	8	2	8	2	8	4	2	5	9	3	9	3	9	5	3
8	6	6	4	6	4	8	8	8	6	6	4	6	4	8	8	9	7	7	5	7	5	9	9
6	2	8	2	2	8	2	2	6	2	8	2	2	8	2	2	7	3	9	3	3	9	3	3
