Small Subject								Medium Subject								Large Subject							
Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8	Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8	Seq1	Seq2	Seq3	Seq4	Seq5	Seq6	Seq7	Seq8
7	7	1	3	1	3	5	5	7	7	1	3	1	3	5	5	7	7	1	3	1	3	5	5
5	1	7	1	5	5	1	1	5	1	7	1	5	5	1	1	5	1	7	1	5	5	1	1
7	7	1	7	3	7	3	5	7	7	1	7	3	7	3	5	7	7	1	7	3	7	3	5
1	1	3	1	7	1	7	7	1	1	3	1	7	1	7	7	1	1	3	1	7	1	7	7
3	7	1	3	3	3	3	3	3	7	1	3	3	3	3	3	3	7	1	3	3	3	3	3
5	3	7	5	7	1	7	7	5	3	7	5	7	1	7	7	5	3	7	5	7	1	7	7
7	5	1	1	1	7	1	1	7	5	1	1	1	7	1	1	7	5	1	1	1	7	1	1
1	1	5	7	3	3	5	7	1	1	5	7	3	3	5	7	1	1	5	7	3	3	5	7
7	7	3	5	1	7	3	1	7	7	3	5	1	7	3	1	7	7	3	5	1	7	3	1
3	1	5	1	3	1	7	3	3	1	5	1	3	1	7	3	3	1	5	1	3	1	7	3
